campagne,dept_code,stock_production_total,stock_aop_total,stock_igp_total,stock_vsig_total,stock_rose_total,stock_rouge_total,stock_blanc_total,nb_declarants,prod_commercialisable,prod_total,prod_aop_total,prod_igp_total,prod_vsig_total,prod_rose_total,superficie_totale_ha,annual_sortie_hl,stock_commerce,stock_start,implied_absorption,gap_sortie_vs_absorption,stock_turnover_months,stock_to_sortie_ratio,yield_hl_per_ha,rose_pct_production,rose_pct_stock
2021-2022,04,21477.790000000005,5666.67,13218.03,2593.09,11085.56,8864.41,1527.8200000000002,12.0,35141.56,36210.009999999995,10303.73,21019.34,3818.49,21115.9,682.8348000000001,45338.0,,25209.030000000006,38872.8,6465.199999999997,5.6847121619833265,0.47372601349861054,51.46421945688766,60.08811219536071,51.61406271315623
2022-2023,04,24616.620000000003,7144.77,15126.62,2345.2300000000005,11359.0,11056.1,2201.52,13.0,37421.990000000005,38387.50000000001,11440.32,22575.33,3406.34,21917.120000000003,702.1291999999999,50489.0,,21477.790000000005,34283.16000000001,16205.83999999999,5.850768286161342,0.48756402384677855,53.297868825281746,58.56748932913509,46.143621666987585
2023-2024,04,23680.059999999998,7312.610000000001,13742.060000000001,2625.39,10101.75,11149.71,2428.6,13.0,33378.369999999995,34392.38999999999,10092.11,19657.109999999997,3629.15,20079.739999999998,728.1392999999999,37380.0,,24616.620000000003,34314.93,3065.0699999999997,7.601945425361155,0.6334954521134296,45.84063791090523,60.15794060644664,42.65930914026401
2024-2025,04,19438.729999999996,8353.33,9562.23,1523.17,7459.949999999999,9504.74,2474.0399999999995,13.0,25114.210000000003,25949.270000000008,9771.380000000001,13572.57,1770.26,15452.0,708.0697000000002,34992.0,,23680.059999999998,29355.540000000008,5636.459999999992,6.666231138545952,0.555519261545496,35.4685562734855,61.52692041676803,38.37673551718657
2019-2020,05,4661.909999999999,0.0,4556.19,105.72,1319.1499999999999,1918.35,1424.4100000000003,9.0,5006.26,5149.0,0.0,4930.89,75.36999999999999,1406.05,114.3341,4675.0,,,,,11.966399999999998,0.9971999999999998,43.78623700190931,28.08583653266111,28.296342057225477
2020-2021,05,5431.56,0.0,5348.77,82.79,1270.8200000000002,2222.64,1938.1,12.0,5699.92,5932.6,31.3,5661.62,7.0,1322.29,117.1988,5392.0,,4661.909999999999,4930.269999999998,461.7300000000023,12.088041543026707,1.0073367952522256,48.634627658303664,23.198395766958132,23.396961462268667
2021-2022,05,4153.59,0.0,3992.77,160.82,956.57,1921.58,1275.44,12.0,5288.509999999999,5469.48,0.0,5129.79,158.72,1198.89,123.78689999999999,6787.0,,5431.56,6566.48,220.52000000000044,7.343904523353469,0.6119920436127891,42.72269521249825,22.669712263000356,23.02995721773213
2022-2023,05,4534.549999999999,0.0,4410.24,124.30999999999999,674.9300000000001,2362.7,1496.92,13.0,5718.980000000001,5893.440000000001,0.0,5561.980000000001,157.0,1177.09,133.9772,5718.0,,4153.59,5338.020000000002,379.97999999999774,9.516369359916053,0.7930307799930044,42.686218252060804,20.582166750014856,14.88416711691348
2023-2024,05,5222.49,0.0,5085.16,137.32999999999998,723.52,3108.3799999999997,1390.59,14.0,6387.840000000001,6563.94,0.0,6176.540000000001,211.3,1390.51,138.37499999999994,5645.0,,4534.549999999999,5699.9,-54.899999999999636,11.101838795394153,0.9251532329495128,46.163252032520354,21.76807809838693,13.853927915611136
2024-2025,05,3948.2999999999997,0.0,3885.98,62.32,671.0799999999999,2303.97,973.25,14.0,4277.910000000001,4421.01,0.0,4214.68,63.23,1302.3100000000004,142.7709,5567.0,,5222.49,5552.100000000002,14.899999999997817,8.51079576073289,0.7092329800610742,29.96345894016218,30.442669434373332,16.996682116353874
