,_section,Argentina,Australia,Chile,France,Italy,South Africa,Spain,USA,Still_Bottled,Still_Bulk,Sparkling,Still_2to10L,trade,vol,unit_price,avg_price,avg_rating,count,under_10,10_15,15_20,20_30,30_50,50_100,100_plus,mean,50%,std
Germany,b1_competitive_position,,,,,,,,,,,,,,,,26.44,89.2,25.0,,,,,,,,,,
Argentina,b1_competitive_position,,,,,,,,,,,,,,,,14.06,84.24,63.0,,,,,,,,,,
Chile,b1_competitive_position,,,,,,,,,,,,,,,,12.57,84.08,51.0,,,,,,,,,,
Portugal,b2_price_tier,,,,,,,,,,,,,,,,,,,45.42,37.08,11.25,5.42,0.83,0.0,0.0,,,
Chile,b2_price_tier,,,,,,,,,,,,,,,,,,,25.49,60.78,11.76,1.96,0.0,0.0,0.0,,,
Spain,b2_price_tier,,,,,,,,,,,,,,,,,,,31.29,45.09,13.8,7.98,1.84,0.0,0.0,,,
Argentina,b2_price_tier,,,,,,,,,,,,,,,,,,,12.7,61.9,19.05,6.35,0.0,0.0,0.0,,,
France,b2_price_tier,,,,,,,,,,,,,,,,,,,4.8,31.06,25.4,17.57,7.83,10.61,2.74,,,
Italy,b2_price_tier,,,,,,,,,,,,,,,,,,,2.65,25.17,37.37,23.18,8.14,3.5,0.0,,,
Austria,b2_price_tier,,,,,,,,,,,,,,,,,,,4.72,31.5,19.69,25.98,11.81,5.51,0.79,,,
USA,b2_price_tier,,,,,,,,,,,,,,,,,,,1.66,16.51,32.29,31.25,13.75,3.93,0.61,,,
Beaujolais,b3_france_provinces,,,,,,,,,,,,,,,,16.53,85.88,17.0,,,,,,,,,,
Burgundy,b3_france_provinces,,,,,,,,,,,,,,,,35.92,88.04,24.0,,,,,,,,,,
Southwest France,b3_france_provinces,,,,,,,,,,,,,,,,13.31,84.99,78.0,,,,,,,,,,
Alsace,b3_france_provinces,,,,,,,,,,,,,,,,23.71,88.33,100.0,,,,,,,,,,
France Other,b3_france_provinces,,,,,,,,,,,,,,,,15.49,85.84,124.0,,,,,,,,,,
Loire Valley,b3_france_provinces,,,,,,,,,,,,,,,,25.05,85.78,131.0,,,,,,,,,,
Languedoc-Roussillon,b3_france_provinces,,,,,,,,,,,,,,,,14.6,86.33,136.0,,,,,,,,,,
