campagne,month,calendar_ym,dept_code,stock_commerce
2023-2024,10,2023-10-01,83,144461.0
2023-2024,11,2023-11-01,13,39499.0
2023-2024,11,2023-11-01,83,136390.0
2023-2024,12,2023-12-01,13,39499.0
2023-2024,12,2023-12-01,83,136390.0
2024-2025,1,2025-01-01,13,68843.0
2024-2025,1,2025-01-01,83,171796.0
2024-2025,2,2025-02-01,13,62532.0
2024-2025,2,2025-02-01,83,187718.0
2024-2025,3,2025-03-01,13,55568.0
2024-2025,3,2025-03-01,83,185249.0
2024-2025,4,2025-04-01,13,61099.0
2024-2025,4,2025-04-01,83,219455.0
2024-2025,5,2025-05-01,13,52337.0
2024-2025,5,2025-05-01,83,175010.0
2024-2025,6,2025-06-01,13,52371.0
2024-2025,6,2025-06-01,83,165712.0
2024-2025,7,2025-07-01,13,52970.0
2024-2025,7,2025-07-01,83,151307.0
2024-2025,8,2024-08-01,13,63898.0
2024-2025,8,2024-08-01,83,152459.0
2024-2025,9,2024-09-01,13,50865.0
2024-2025,9,2024-09-01,83,139950.0
2024-2025,10,2024-10-01,13,46736.0
2024-2025,10,2024-10-01,83,134314.0
2024-2025,11,2024-11-01,13,41115.0
2024-2025,11,2024-11-01,83,147713.0
2024-2025,12,2024-12-01,13,47401.0
2024-2025,12,2024-12-01,83,159235.0
